pulse,slant_cm,ground_cm,ldr_raw,backscatter_pct,temp_c,pressure_hpa,alert
1,20.03,19.39,416,40.76,19.29,1009.67,0
2,OOR,OOR,10,0.98,19.29,1009.67,0
3,OOR,OOR,9,0.88,19.29,1009.67,0
4,OOR,OOR,9,0.88,19.29,1009.67,0
5,OOR,OOR,9,0.88,19.29,1009.67,0
6,OOR,OOR,8,0.78,19.29,1009.67,0
7,6.12,6.10,0,0.00,19.29,1009.67,1
8,4.37,4.37,121,11.83,19.29,1009.66,1
9,4.80,4.79,154,15.15,19.29,1009.66,1
10,OOR,OOR,183,17.89,19.29,1009.66,0
11,6.36,6.34,0,0.00,19.29,1009.66,1
12,15.66,15.36,124,12.12,19.29,1009.66,0
13,24.56,23.37,0,0.00,19.29,1009.66,0
14,8.54,8.49,0,0.00,19.29,1009.66,1
15,4.61,4.61,123,12.02,19.29,1009.66,1
16,18.42,17.92,157,15.35,19.29,1009.66,0
17,18.42,17.92,0,0.00,19.29,1009.66,0
18,18.80,18.27,0,0.00,19.29,1009.66,0
19,19.45,18.86,0,0.00,19.29,1009.66,0
20,18.37,17.88,0,0.00,19.29,1009.66,0
21,23.55,22.50,0,0.10,19.29,1009.66,0
22,8.33,8.29,1,0.10,19.29,1009.66,1
23,8.47,8.42,121,11.83,19.29,1009.66,1
24,OOR,OOR,156,15.25,19.29,1009.66,0
25,OOR,OOR,7,0.68,19.29,1009.66,0
26,OOR,OOR,7,0.78,19.29,1009.66,0
27,OOR,OOR,8,0.78,19.29,1009.66,0
28,OOR,OOR,8,0.78,19.29,1009.66,0
29,OOR,OOR,8,0.78,19.29,1009.66,0
30,OOR,OOR,9,0.88,19.29,1009.66,0
31,OOR,OOR,9,0.88,19.29,1009.66,0
32,OOR,OOR,10,0.98,19.29,1009.66,0
33,7.80,7.77,0,0.00,19.29,1009.66,1
34,4.56,4.55,118,11.53,19.29,1009.66,1
35,16.26,15.92,152,14.86,19.29,1009.66,0
36,20.29,19.63,0,0.00,19.29,1009.66,0
37,4.37,4.37,0,0.00,19.29,1009.66,1
38,4.68,4.67,120,11.73,19.29,1009.66,1
39,OOR,OOR,158,15.44,19.29,1009.66,0
40,OOR,OOR,7,0.68,19.29,1009.66,0
41,OOR,OOR,6,0.59,19.29,1009.66,0
42,OOR,OOR,6,0.59,19.29,1009.66,0
43,OOR,OOR,5,0.49,19.29,1009.66,0
44,OOR,OOR,4,0.49,19.29,1009.66,0
45,OOR,OOR,4,0.39,19.29,1009.66,0
46,OOR,OOR,4,0.39,19.29,1009.66,0
47,OOR,OOR,4,0.39,19.29,1009.66,0
48,OOR,OOR,3,0.39,19.29,1009.66,0
49,13.00,12.83,0,0.00,19.29,1009.66,1
50,OOR,OOR,122,11.93,19.29,1009.66,0
51,12.40,12.25,0,0.00,19.29,1009.66,1
